datetime,SDNN,RMSSD,NN50,PNN50,HRmax - HRmin,VLF Power,LF Power,HF Power,LFPeak/HFPeak,LF/HF,SDANN 24h,ASDNN 24h,Prediction
2020-02-13 17:33:32,122.01999845587306,108.5372150176909,136,59.91189427312775,23.25,1901.2061900567128,2033.8352356242915,2234.987718768431,0.17154811715481172,0.9099983944184791,59.27306094505989,120.99234281522715,[101.27371]
2020-02-13 22:28:32,53.82173689372698,53.391082482548846,80,33.19502074688796,19.269999999999996,680.203875353724,691.313797451998,843.6817383057269,0.1583011583011583,0.819401162860639,79.80807607041653,94.90955012720823,[111.62512]
2020-02-13 22:38:31,71.63903477199608,68.40276907764436,71,29.583333333333332,5.270000000000003,1379.0782463476296,993.8566138759378,1198.5401466354776,0.2714285714285714,0.8292226311032433,83.21216133902486,95.03232129073426,[102.486626]
2020-02-13 22:43:32,72.83989319244206,68.29191453155907,115,42.91044776119403,6.710000000000001,765.1455098774949,992.2189575778145,1151.914463369884,0.16532258064516128,0.8613651352854047,80.37581660858041,93.58289365989748,[109.796135]
2020-02-13 22:48:31,61.91814798020066,52.788257110436746,78,29.433962264150942,6.5,927.0326778803445,441.6911142343009,536.1685769632469,0.14590747330960854,0.8237914962043325,81.903969962618,91.71969039728044,[123.18134]
2020-02-13 23:13:33,52.034164724360245,62.40753023939746,99,40.08097165991903,15.900000000000006,147.33430669548977,158.4263794632165,908.3488663482099,0.155893536121673,0.17441138017833419,77.80298078952978,91.63089147960036,[125.746956]
2020-02-13 23:28:32,55.551342343618224,76.19482230041855,143,49.48096885813148,3.0700000000000003,261.8384389053402,292.5753883153071,1051.833840381711,0.1865671641791045,0.2781574209564615,77.16959440840427,91.73068316434791,[122.522545]
2020-02-13 23:33:32,66.18199959744655,65.50250776121707,113,46.69421487603306,15.229999999999997,1228.3397845444385,476.2357227541114,1226.8264436262134,0.17446808510638298,0.38818508129517443,75.94589403026379,90.85896175862607,[125.24208]
2020-02-13 23:38:31,62.35975214996473,71.59490757961305,156,50.814332247557005,4.100000000000001,421.04735472999283,455.43224909981643,1928.0550708193934,0.20175438596491227,0.2362132990870768,75.56548994165726,90.29984693194137,[117.34579]
2020-02-13 23:43:31,53.65585425778283,55.665988891229965,119,36.28048780487805,6.130000000000003,310.05622479004217,334.7847636708575,1203.8421280502241,0.17446808510638298,0.27809689980951585,74.16551007845136,88.98774063416167,[119.69933]
2020-02-13 23:48:31,42.535157861993476,50.82234501641346,110,32.544378698224854,2.1500000000000057,162.47436440807022,170.04197748099887,849.5492766613027,0.16872427983539096,0.20015552028866126,73.16164213614626,87.83068756391165,[126.60383]
2020-02-13 23:53:31,44.655533802515585,52.896945100435275,114,33.72781065088758,2.8599999999999994,115.70650893448581,158.45009511703165,997.3704230482558,0.256198347107438,0.1588678503546975,72.1856398310197,86.80464609105991,[127.36132]
2020-02-13 23:58:32,43.89233483926689,50.06067621446856,112,32.748538011695906,3.0799999999999983,189.76427290152583,121.14201240081489,914.5667167169873,0.16942148760330578,0.13245836546039788,70.83068778738,84.61398646797218,[126.006874]
2020-02-14 00:03:32,40.8154925021505,49.62189599269018,105,30.612244897959183,1.5700000000000074,100.8870510480984,148.7494013065451,862.3965740122002,0.17959183673469387,0.1724837572284242,69.79911251726834,83.81778027515752,[128.43008]
2020-02-14 00:08:32,56.07761112106259,54.922904445617505,116,35.04531722054381,6.8700000000000045,183.85465697585352,212.64209669198976,1044.9181832526283,0.2594142259414226,0.20350119282073934,68.79838741885183,83.17919676559445,[123.99691]
2020-02-14 00:13:31,74.7609644704454,56.07949234970708,91,38.72340425531915,12.86,2031.1730520077072,1150.464345946078,316.4279998133073,0.17903930131004367,3.635785539284933,74.01479429318128,82.60639105100189,[105.17761]
2020-02-14 00:18:31,65.067180472549,59.97830413703309,106,40.76923076923077,5.240000000000002,1249.9842211232938,812.4376303526894,651.7713498316632,0.1722689075630252,1.246507123337843,72.65046843055227,82.56238554773785,[104.2667]
2020-02-14 00:23:32,66.28734743930336,67.87640570330755,103,41.86991869918699,3.200000000000003,652.8831195239293,800.410908139565,743.3094671922302,0.20707070707070707,1.0768205484628486,75.0388325519498,82.20374662197786,[105.00654]
2020-02-14 00:38:31,58.642095501510205,66.95795325793738,115,45.09803921568628,2.270000000000003,937.9622149115272,745.8360380247939,662.5076237212556,0.164,1.1257772911887245,79.94135166871992,81.14486280460295,[102.432816]
2020-02-14 00:43:32,51.60245080376708,65.34913471415581,118,45.038167938931295,3.5500000000000043,367.6753471745242,545.1600793682628,518.6738358687783,0.24472573839662448,1.0510653163275918,79.38864737943119,80.99408612908591,[117.66168]
2020-02-14 00:48:32,45.419706187467135,62.33205061176189,108,46.95652173913044,1.9799999999999969,398.347497407138,344.6379162067907,396.29299728122726,0.1277258566978193,0.8696543178183394,78.60229247964038,80.55806884394134,[123.90937]
2020-02-14 00:53:31,38.68420521341005,49.16217397503307,83,33.46774193548387,3.25,362.4413446299259,273.23661275165665,211.98486566315418,0.15648854961832062,1.2889439625649126,77.72481555003098,79.78923723145147,[122.017235]
2020-02-14 00:58:32,38.49188489384895,44.07729474672839,64,22.857142857142858,3.0,444.60120537895403,269.49874167698505,208.759127593896,0.155893536121673,1.290955489147508,76.85565674455943,78.9954045985457,[122.674034]
2020-02-14 01:03:31,32.58717980545691,44.01347611340091,73,22.884012539184955,1.3599999999999994,200.8046463541389,187.5587895714201,266.65323978587855,0.15471698113207547,0.7033808766847499,76.06805097720692,78.22626392408841,[143.27373]
