datetime,Prediction
2020-02-15 04:53:31,[101.88599]
2020-02-15 04:58:30,[91.090706]
2020-02-15 05:03:30,[110.29558]
2020-02-15 05:08:30,[101.25224]
2020-02-15 05:13:30,[98.88429]
2020-02-15 05:18:31,[91.89484]
2020-02-15 05:23:30,[116.94107]
2020-02-15 05:28:30,[89.55414]
2020-02-15 05:33:30,[113.25432]
2020-02-15 05:58:31,[102.545685]
2020-02-15 06:03:30,[84.89161]
2020-02-15 06:18:31,[100.97407]
2020-02-16 22:33:28,[132.22275]
2020-02-16 23:13:28,[137.4887]
2020-02-16 23:23:28,[103.06705]
2020-02-16 23:28:28,[133.09937]
2020-02-16 23:33:28,[98.60366]
2020-02-16 23:38:27,[121.97225]
2020-02-16 23:43:28,[122.072426]
2020-02-16 23:48:28,[119.311874]
2020-02-16 23:53:28,[115.19809]
2020-02-16 23:58:28,[133.7929]
2020-02-17 00:03:27,[145.98592]
2020-02-17 00:08:28,[138.00046]
2020-02-17 00:13:28,[101.63537]
2020-02-17 00:18:28,[131.2623]
2020-02-17 00:23:28,[134.79993]
2020-02-17 00:28:27,[128.22563]
2020-02-17 00:33:27,[117.19856]
2020-02-17 00:38:27,[96.28649]
2020-02-17 00:43:28,[131.8271]
2020-02-17 00:48:28,[133.2262]
2020-02-17 00:53:28,[134.46074]
2020-02-17 00:58:28,[112.836235]
2020-02-17 01:03:28,[125.123]
2020-02-17 01:08:28,[134.30933]
2020-02-17 01:13:27,[80.39472]
2020-02-17 01:18:28,[126.91691]
2020-02-17 01:23:28,[77.07921]
2020-02-17 01:28:28,[110.69298]
2020-02-17 01:33:27,[94.29108]
2020-02-17 01:38:28,[111.71314]
2020-02-17 01:43:28,[130.48448]
2020-02-17 01:48:28,[121.45478]
2020-02-17 01:53:28,[115.13524]
2020-02-17 01:58:28,[129.37094]
2020-02-17 02:03:28,[132.62761]
2020-02-17 02:08:28,[129.89897]
2020-02-17 02:13:27,[113.03372]
2020-02-17 02:18:28,[110.92098]
2020-02-17 02:23:28,[117.97156]
2020-02-17 02:28:28,[118.751884]
2020-02-17 02:33:28,[122.70659]
2020-02-17 02:38:27,[87.94849]
2020-02-17 02:43:28,[111.420784]
2020-02-17 02:48:28,[113.277054]
2020-02-17 02:53:28,[122.91936]
2020-02-17 02:58:28,[118.663284]
2020-02-17 03:03:28,[120.49099]
2020-02-17 03:08:28,[119.32973]
2020-02-17 03:13:28,[115.45134]
2020-02-17 03:18:28,[118.97217]
2020-02-17 03:23:28,[127.39768]
2020-02-17 03:28:28,[123.60583]
2020-02-17 03:33:28,[127.99301]
2020-02-17 03:38:28,[119.84719]
2020-02-17 03:43:28,[123.92135]
2020-02-17 03:48:27,[99.20808]
2020-02-17 03:53:28,[115.62937]
2020-02-17 03:58:28,[116.7769]
2020-02-17 04:03:27,[92.35446]
2020-02-17 04:08:28,[124.54022]
2020-02-17 04:18:28,[86.36043]
2020-02-17 04:23:28,[128.31122]
2020-02-17 04:33:28,[110.62561]
2020-02-17 04:38:27,[120.281204]
2020-02-17 04:43:28,[112.383064]
2020-02-17 04:48:27,[106.21119]
2020-02-17 04:53:28,[121.21746]
2020-02-17 04:58:28,[122.73681]
2020-02-17 05:08:28,[124.437904]
2020-02-17 05:13:28,[114.13978]
2020-02-17 05:18:27,[113.91955]
2020-02-17 05:23:27,[118.54813]
2020-02-17 05:28:27,[120.5357]
2020-02-17 05:33:28,[116.84123]
2020-02-17 05:48:28,[90.54812]
2020-02-17 22:13:28,[86.70665]
2020-02-17 22:18:28,[111.40858]
2020-02-17 22:23:28,[118.072945]
2020-02-17 22:28:27,[105.48738]
2020-02-17 22:33:27,[109.756226]
2020-02-17 22:38:27,[105.477684]
2020-02-17 22:43:28,[113.15907]
2020-02-17 22:48:27,[110.81269]
2020-02-17 22:53:27,[109.50841]
2020-02-17 23:23:27,[114.23215]
2020-02-17 23:43:27,[120.95625]
2020-02-17 23:48:28,[117.70341]
2020-02-17 23:53:27,[124.27447]
2020-02-17 23:58:28,[129.84712]
2020-02-18 00:03:27,[122.16145]
2020-02-18 00:08:27,[134.9207]
2020-02-18 00:13:27,[122.815865]
2020-02-18 00:18:27,[124.323944]
2020-02-18 00:23:27,[131.59258]
2020-02-18 00:28:27,[109.160065]
2020-02-18 00:33:27,[115.00931]
2020-02-18 00:38:27,[110.30033]
2020-02-18 00:43:27,[124.782715]
2020-02-18 00:48:28,[121.36648]
2020-02-18 00:53:27,[124.24971]
2020-02-18 00:58:28,[129.0823]
2020-02-18 01:03:28,[96.527176]
2020-02-18 01:08:28,[72.23871]
2020-02-18 01:13:27,[90.71003]
2020-02-18 01:18:27,[122.73597]
2020-02-18 01:23:28,[131.87953]
2020-02-18 01:28:27,[131.46416]
2020-02-18 01:33:27,[130.35397]
2020-02-18 01:38:28,[131.69942]
2020-02-18 01:43:27,[127.64083]
2020-02-18 01:48:28,[120.71131]
2020-02-18 01:53:27,[117.55851]
2020-02-18 01:58:27,[97.879074]
2020-02-18 02:03:27,[115.29213]
2020-02-18 02:08:28,[93.865974]
2020-02-18 02:13:27,[118.87646]
2020-02-18 02:18:27,[116.73432]
2020-02-18 02:23:28,[116.11388]
2020-02-18 02:28:28,[130.63597]
2020-02-18 02:33:28,[126.679726]
2020-02-18 02:38:27,[117.28062]
2020-02-18 02:43:27,[131.58939]
2020-02-18 02:48:28,[127.82416]
2020-02-18 02:53:28,[91.882866]
2020-02-18 02:58:27,[nan]
2020-02-18 03:03:27,[113.670494]
2020-02-18 03:08:27,[118.58149]
2020-02-18 03:13:27,[104.89729]
2020-02-18 03:18:28,[117.17814]
2020-02-18 03:23:27,[83.95821]
2020-02-18 03:28:27,[110.34466]
2020-02-18 03:33:28,[84.555534]
2020-02-18 03:38:28,[114.0111]
2020-02-18 03:43:27,[98.98]
2020-02-18 03:48:28,[97.9867]
2020-02-18 03:53:27,[113.65357]
2020-02-18 03:58:27,[111.93864]
2020-02-18 04:03:27,[119.97625]
2020-02-18 04:08:27,[120.190575]
2020-02-18 04:13:28,[112.966194]
2020-02-18 04:18:27,[109.82304]
2020-02-18 04:23:28,[111.62397]
2020-02-18 04:38:27,[119.43947]
2020-02-18 04:43:28,[125.388374]
2020-02-18 04:48:27,[122.73441]
2020-02-18 04:53:28,[91.76139]
2020-02-18 04:58:27,[93.0232]
2020-02-18 05:03:27,[116.013725]
2020-02-18 05:08:28,[119.87588]
2020-02-18 05:18:28,[110.62719]
2020-02-18 05:23:27,[110.57299]
2020-02-18 05:28:27,[112.245674]
2020-02-18 12:13:27,[161.17735]
2020-02-18 18:08:27,[121.90493]
2020-02-18 19:13:27,[118.73852]
2020-02-18 20:58:28,[111.68019]
2020-02-18 21:03:28,[122.53213]
2020-02-18 23:38:27,[121.19452]
2020-02-18 23:43:27,[85.01564]
2020-02-18 23:48:27,[125.17503]
2020-02-18 23:53:28,[114.46035]
2020-02-18 23:58:27,[121.38178]
2020-02-19 00:03:27,[121.9475]
2020-02-19 00:08:27,[123.78651]
2020-02-19 00:13:27,[123.40979]
2020-02-19 00:23:27,[115.911125]
2020-02-19 00:28:27,[121.67741]
2020-02-19 00:33:27,[99.555565]
2020-02-19 00:38:27,[120.64267]
2020-02-19 00:43:27,[119.59643]
2020-02-19 00:48:28,[105.40867]
2020-02-19 00:53:27,[101.80756]
2020-02-19 00:58:26,[96.52296]
2020-02-19 01:03:26,[116.77938]
2020-02-19 01:08:26,[118.95782]
2020-02-19 01:13:26,[111.00445]
2020-02-19 01:18:26,[127.18032]
2020-02-19 01:23:26,[126.68891]
2020-02-19 01:28:26,[124.84443]
2020-02-19 01:33:27,[127.66519]
2020-02-19 01:38:26,[96.109924]
2020-02-19 01:43:27,[127.80719]
2020-02-19 01:48:26,[122.67177]
2020-02-19 01:53:26,[122.81085]
2020-02-19 01:58:26,[113.171005]
2020-02-19 02:03:26,[122.869156]
2020-02-19 02:08:26,[124.23593]
2020-02-19 02:13:26,[99.12002]
2020-02-19 02:18:26,[80.58935]
2020-02-19 02:23:26,[116.88761]
2020-02-19 02:28:26,[121.48603]
2020-02-19 02:33:26,[110.34244]
2020-02-19 02:38:26,[112.066795]
2020-02-19 02:43:26,[120.6347]
2020-02-19 02:48:26,[113.567154]
2020-02-19 02:53:26,[129.16486]
2020-02-19 02:58:26,[127.35554]
2020-02-19 03:03:27,[123.39275]
2020-02-19 03:08:26,[128.32516]
2020-02-19 03:13:26,[123.793976]
2020-02-19 03:18:26,[117.51316]
2020-02-19 03:23:26,[122.42819]
2020-02-19 03:28:27,[120.51535]
2020-02-19 03:33:26,[122.24207]
2020-02-19 03:38:26,[119.342514]
2020-02-19 03:43:26,[119.13979]
2020-02-19 03:48:27,[114.08383]
2020-02-19 03:53:26,[124.83482]
2020-02-19 03:58:26,[88.60031]
2020-02-19 04:03:26,[104.80959]
2020-02-19 04:08:26,[127.77665]
2020-02-19 04:13:26,[101.454155]
2020-02-19 04:18:26,[127.45088]
2020-02-19 04:23:26,[131.72386]
2020-02-19 04:28:27,[121.48297]
2020-02-19 04:33:26,[124.962234]
2020-02-19 04:38:26,[117.95263]
2020-02-19 04:43:27,[122.750114]
2020-02-19 04:48:26,[120.87236]
2020-02-19 04:53:27,[100.454994]
2020-02-19 04:58:26,[84.616875]
2020-02-19 05:03:26,[125.43362]
2020-02-19 05:08:26,[134.25717]
2020-02-19 05:13:26,[125.1838]
2020-02-19 05:18:27,[129.89409]
2020-02-19 05:23:26,[128.54591]
2020-02-19 05:28:26,[128.135]
2020-02-19 05:33:26,[91.909424]
2020-02-19 05:38:26,[127.649086]
2020-02-19 05:43:26,[121.070625]
2020-02-19 05:48:26,[128.34369]
2020-02-19 05:53:26,[128.24873]
2020-02-19 05:58:26,[128.2898]
2020-02-19 06:03:26,[92.591064]
2020-02-19 06:08:26,[82.09593]
2020-02-19 06:13:26,[123.13973]
2020-02-19 06:18:27,[129.58182]
2020-02-19 06:23:26,[109.22171]
